userid;wid;date;weight;female;educ;age;hispanic;black;couple;num_kids;owner;inflation;house_price_change;prob_stocks_up;num_lit_q1;num_lit_q1_correct;num_lit_q2;num_lit_q2_correct;num_lit_q3;num_lit_q3_correct;num_lit_q5;num_lit_q5_correct;num_lit_q6;num_lit_q6_correct;num_lit_q8;num_lit_q8_correct;num_lit_q9;num_lit_q9_correct
70086109;201807;2018-07-02;0.5;1.0;4.0;53.0;0.0;0.0;0.0;0.0;;2.0;25.0;40.0;;;;;;;;;;;;;;
70086135;201807;2018-07-16;0.7;1.0;3.0;54.0;0.0;0.0;1.0;3.0;;2.0;5.0;20.0;;;;;;;;;;;;;;
70086190;201807;2018-07-03;0.8;0.0;3.0;42.0;0.0;0.0;0.0;0.0;;-30.0;-18.0;1.0;;;;;;;;;;;;;;
70086244;201807;2018-07-02;1.4;0.0;3.0;71.0;0.0;0.0;1.0;0.0;;2.0;12.0;50.0;;;;;;;;;;;;;;
70086249;201807;2018-07-03;1.0;0.0;3.0;70.0;0.0;0.0;1.0;0.0;;3.8;7.0;30.0;;;;;;;;;;;;;;
70086282;201807;2018-07-23;0.5;0.0;4.0;65.0;0.0;0.0;1.0;0.0;;2.0;4.0;70.0;;;;;;;;;;;;;;
70086305;201807;2018-07-18;0.4;0.0;4.0;25.0;0.0;0.0;0.0;0.0;;3.0;10.0;28.0;;;;;;;;;;;;;;
70086313;201807;2018-07-09;0.4;1.0;4.0;58.0;0.0;0.0;0.0;0.0;;3.0;4.0;40.0;;;;;;;;;;;;;;
70086322;201807;2018-07-02;0.9;0.0;4.0;32.0;0.0;1.0;0.0;0.0;;6.0;-5.0;10.0;;;;;;;;;;;;;;
70086325;201807;2018-07-09;0.6;1.0;4.0;62.0;0.0;0.0;0.0;0.0;;2.0;2.0;60.0;;;;;;;;;;;;;;
70086330;201807;2018-07-03;0.5;0.0;4.0;29.0;1.0;0.0;1.0;0.0;;3.0;15.0;50.0;;;;;;;;;;;;;;
70086347;201807;2018-07-26;0.7;1.0;4.0;29.0;0.0;0.0;1.0;0.0;;0.0;-1.0;21.0;;;;;;;;;;;;;;
70086350;201807;2018-07-16;0.6;0.0;4.0;65.0;0.0;0.0;0.0;0.0;;2.0;2.0;50.0;;;;;;;;;;;;;;
70086351;201807;2018-07-06;2.1;1.0;2.0;46.0;0.0;0.0;1.0;0.0;;1.0;1.0;50.0;;;;;;;;;;;;;;
70086389;201807;2018-07-08;0.6;0.0;4.0;57.0;0.0;0.0;1.0;3.0;;2.0;1.0;31.0;;;;;;;;;;;;;;
70086438;201807;2018-07-16;0.9;0.0;3.0;72.0;0.0;0.0;1.0;0.0;;3.0;6.0;60.0;;;;;;;;;;;;;;
70086465;201807;2018-07-02;0.8;0.0;4.0;43.0;0.0;0.0;1.0;1.0;;2.3;5.0;60.0;;;;;;;;;;;;;;
70086513;201807;2018-07-25;0.5;1.0;4.0;44.0;0.0;1.0;0.0;1.0;;-20.0;6.0;30.0;;;;;;;;;;;;;;
70086553;201807;2018-07-09;1.3;1.0;3.0;55.0;0.0;0.0;1.0;1.0;;3.0;5.0;50.0;;;;;;;;;;;;;;
70086635;201807;2018-07-03;0.6;1.0;4.0;30.0;0.0;0.0;1.0;3.0;;3.0;2.0;12.0;;;;;;;;;;;;;;
70086673;201807;2018-07-28;0.5;1.0;4.0;47.0;0.0;0.0;1.0;2.0;;3.0;3.0;30.0;;;;;;;;;;;;;;
70086683;201807;2018-07-02;1.2;0.0;3.0;61.0;0.0;0.0;1.0;0.0;;1.0;5.0;1.0;;;;;;;;;;;;;;
70086692;201807;2018-07-12;0.9;0.0;3.0;34.0;0.0;1.0;0.0;0.0;;5.0;5.0;50.0;;;;;;;;;;;;;;
70086693;201807;2018-07-08;0.5;0.0;4.0;29.0;0.0;0.0;0.0;0.0;;3.0;4.0;5.0;;;;;;;;;;;;;;
70086696;201807;2018-07-03;0.6;1.0;4.0;54.0;0.0;0.0;0.0;0.0;;5.0;10.0;20.0;;;;;;;;;;;;;;
70086738;201807;2018-07-09;0.5;0.0;4.0;81.0;0.0;0.0;1.0;0.0;;4.0;2.0;33.0;;;;;;;;;;;;;;
70086749;201807;2018-07-23;0.9;1.0;3.0;44.0;0.0;0.0;1.0;1.0;;6.0;0.0;0.0;;;;;;;;;;;;;;
70086962;201807;2018-07-04;0.6;0.0;4.0;35.0;0.0;0.0;1.0;2.0;;2.5;2.0;80.0;;;;;;;;;;;;;;
70086963;201807;2018-07-29;0.7;1.0;4.0;31.0;0.0;0.0;0.0;0.0;;5.0;2.0;34.0;;;;;;;;;;;;;;
70086970;201807;2018-07-24;0.8;0.0;3.0;63.0;0.0;0.0;1.0;0.0;;3.0;4.0;60.0;;;;;;;;;;;;;;
70086971;201807;2018-07-08;0.5;0.0;4.0;52.0;0.0;0.0;0.0;1.0;;2.0;4.0;50.0;;;;;;;;;;;;;;
70086978;201807;2018-07-02;0.6;0.0;4.0;62.0;0.0;0.0;1.0;1.0;;3.0;5.0;20.0;;;;;;;;;;;;;;
70086993;201807;2018-07-28;0.7;1.0;4.0;54.0;0.0;0.0;1.0;1.0;;3.0;4.0;40.0;;;;;;;;;;;;;;
70087011;201807;2018-07-03;1.0;0.0;3.0;62.0;0.0;0.0;0.0;0.0;;2.0;8.0;40.0;;;;;;;;;;;;;;
70087017;201807;2018-07-23;0.5;0.0;4.0;24.0;0.0;0.0;0.0;0.0;;-4.0;5.0;62.0;;;;;;;;;;;;;;
70087025;201807;2018-07-02;0.7;0.0;4.0;77.0;0.0;0.0;1.0;0.0;;3.0;4.0;50.0;;;;;;;;;;;;;;
70087051;201807;2018-07-04;0.9;0.0;3.0;68.0;0.0;0.0;1.0;0.0;;3.0;5.0;10.0;;;;;;;;;;;;;;
70087052;201807;2018-07-04;1.1;1.0;3.0;32.0;0.0;0.0;0.0;2.0;;5.0;5.0;50.0;;;;;;;;;;;;;;
70087058;201807;2018-07-03;0.9;0.0;3.0;21.0;0.0;0.0;0.0;0.0;;3.0;3.0;46.0;;;;;;;;;;;;;;
70087060;201807;2018-07-14;1.0;1.0;3.0;68.0;0.0;0.0;1.0;0.0;;5.0;15.0;1.0;;;;;;;;;;;;;;
70087066;201807;2018-07-08;0.5;1.0;4.0;49.0;0.0;0.0;1.0;0.0;;2.0;5.0;10.0;;;;;;;;;;;;;;
70087068;201807;2018-07-03;0.8;0.0;4.0;34.0;0.0;0.0;1.0;0.0;;2.5;5.0;20.0;;;;;;;;;;;;;;
70087075;201807;2018-07-11;0.8;0.0;4.0;50.0;0.0;0.0;1.0;0.0;;7.0;-10.0;30.0;;;;;;;;;;;;;;
70087076;201807;2018-07-02;0.5;1.0;4.0;44.0;0.0;1.0;0.0;0.0;;4.0;4.0;10.0;;;;;;;;;;;;;;
70087080;201807;2018-07-28;0.7;0.0;4.0;40.0;0.0;0.0;1.0;3.0;;2.0;2.0;20.0;;;;;;;;;;;;;;
70087084;201807;2018-07-25;0.7;0.0;4.0;28.0;0.0;0.0;1.0;1.0;;2.0;3.0;75.0;;;;;;;;;;;;;;
70087088;201807;2018-07-08;0.6;1.0;4.0;44.0;0.0;0.0;0.0;0.0;;3.0;6.0;30.0;;;;;;;;;;;;;;
70087089;201807;2018-07-11;0.6;1.0;4.0;70.0;0.0;0.0;0.0;0.0;;5.0;2.0;50.0;;;;;;;;;;;;;;
70087096;201807;2018-07-14;2.3;1.0;2.0;77.0;0.0;0.0;1.0;0.0;;5.0;5.0;10.0;;;;;;;;;;;;;;
70087099;201807;2018-07-04;0.4;0.0;4.0;68.0;0.0;0.0;1.0;0.0;;5.0;10.0;30.0;;;;;;;;;;;;;;
70087106;201807;2018-07-03;0.8;1.0;4.0;40.0;0.0;0.0;1.0;3.0;;2.0;1.0;50.0;;;;;;;;;;;;;;
70087115;201807;2018-07-06;0.5;0.0;4.0;60.0;0.0;0.0;1.0;0.0;;2.5;5.0;50.0;;;;;;;;;;;;;;
70087120;201807;2018-07-23;0.7;0.0;4.0;43.0;0.0;0.0;1.0;2.0;;2.0;2.0;50.0;;;;;;;;;;;;;;
70087125;201807;2018-07-07;0.5;1.0;4.0;34.0;0.0;0.0;0.0;0.0;;3.0;12.0;31.0;;;;;;;;;;;;;;
70087126;201807;2018-07-03;0.5;0.0;4.0;80.0;0.0;0.0;1.0;0.0;;5.0;10.0;10.0;;;;;;;;;;;;;;
70087143;201807;2018-07-16;0.5;0.0;4.0;68.0;0.0;0.0;0.0;0.0;;5.0;5.0;50.0;;;;;;;;;;;;;;
70087149;201807;2018-07-15;0.4;0.0;4.0;27.0;0.0;0.0;0.0;0.0;;2.0;6.0;40.0;;;;;;;;;;;;;;
70087156;201807;2018-07-11;0.9;0.0;4.0;27.0;0.0;0.0;0.0;0.0;;2.0;-5.0;30.0;;;;;;;;;;;;;;
70087157;201807;2018-07-08;0.4;0.0;4.0;61.0;0.0;0.0;1.0;0.0;;-1.0;1.0;40.0;;;;;;;;;;;;;;
70087172;201807;2018-07-31;0.6;1.0;4.0;35.0;0.0;0.0;1.0;1.0;;2.0;3.0;50.0;;;;;;;;;;;;;;
70087186;201807;2018-07-28;0.8;0.0;4.0;65.0;0.0;0.0;1.0;0.0;;2.0;3.0;50.0;;;;;;;;;;;;;;
70087194;201807;2018-07-03;0.5;1.0;4.0;65.0;0.0;0.0;1.0;0.0;;2.0;3.0;55.0;;;;;;;;;;;;;;
70087197;201807;2018-07-07;0.9;1.0;3.0;52.0;0.0;0.0;0.0;0.0;;3.0;5.0;10.0;;;;;;;;;;;;;;
70087205;201807;2018-07-08;0.5;0.0;4.0;63.0;0.0;0.0;0.0;0.0;;5.0;10.0;20.0;;;;;;;;;;;;;;
70087206;201807;2018-07-02;2.9;1.0;2.0;68.0;0.0;0.0;0.0;0.0;;3.0;2.0;30.0;;;;;;;;;;;;;;
70087213;201807;2018-07-30;0.8;0.0;4.0;60.0;0.0;0.0;1.0;1.0;;6.0;10.0;50.0;;;;;;;;;;;;;;
70087231;201807;2018-07-15;2.3;0.0;2.0;64.0;0.0;0.0;0.0;0.0;;3.0;6.0;60.0;;;;;;;;;;;;;;
70087232;201807;2018-07-24;0.7;1.0;3.0;54.0;0.0;0.0;0.0;0.0;;30.0;-10.0;10.0;;;;;;;;;;;;;;
70087247;201807;2018-07-16;0.5;0.0;4.0;36.0;0.0;0.0;1.0;2.0;;2.0;10.0;20.0;;;;;;;;;;;;;;
70087251;201807;2018-07-28;0.9;1.0;3.0;58.0;0.0;0.0;1.0;2.0;;10.0;6.0;10.0;;;;;;;;;;;;;;
70087267;201807;2018-07-13;0.8;0.0;4.0;31.0;0.0;0.0;1.0;2.0;;2.0;2.0;70.0;;;;;;;;;;;;;;
70087272;201807;2018-07-26;1.0;1.0;3.0;42.0;0.0;0.0;1.0;1.0;;4.0;3.0;20.0;;;;;;;;;;;;;;
70087284;201807;2018-07-05;1.1;1.0;3.0;75.0;0.0;0.0;0.0;0.0;;5.0;7.0;25.0;;;;;;;;;;;;;;
70087287;201807;2018-07-18;0.6;1.0;4.0;30.0;0.0;1.0;0.0;0.0;;3.0;1.0;80.0;;;;;;;;;;;;;;
70087297;201807;2018-07-02;0.5;0.0;4.0;68.0;0.0;0.0;0.0;0.0;;4.0;4.0;3.0;;;;;;;;;;;;;;
70087305;201807;2018-07-24;0.7;0.0;3.0;68.0;0.0;0.0;1.0;1.0;;1.0;2.0;70.0;;;;;;;;;;;;;;
70087312;201807;2018-07-30;0.8;1.0;4.0;52.0;0.0;0.0;1.0;0.0;;3.0;2.0;5.0;;;;;;;;;;;;;;
70087319;201807;2018-07-03;0.4;0.0;4.0;66.0;0.0;0.0;1.0;0.0;;3.0;2.0;35.0;;;;;;;;;;;;;;
70087324;201807;2018-07-19;0.7;0.0;4.0;56.0;0.0;0.0;1.0;2.0;;2.0;3.0;65.0;;;;;;;;;;;;;;
70087326;201807;2018-07-02;0.4;0.0;4.0;70.0;0.0;0.0;1.0;1.0;;-2.0;3.0;20.0;;;;;;;;;;;;;;
70087333;201807;2018-07-15;0.6;1.0;4.0;63.0;0.0;0.0;0.0;1.0;;2.8;5.0;59.0;;;;;;;;;;;;;;
70087350;201807;2018-07-25;0.8;1.0;4.0;61.0;0.0;0.0;0.0;0.0;;2.0;3.0;4.0;;;;;;;;;;;;;;
70087354;201807;2018-07-03;3.2;1.0;2.0;52.0;0.0;1.0;0.0;0.0;;10.0;20.0;10.0;;;;;;;;;;;;;;
70087361;201807;2018-07-02;0.5;1.0;4.0;23.0;0.0;0.0;0.0;0.0;;2.0;1.0;45.0;;;;;;;;;;;;;;
70087381;201807;2018-07-27;1.0;0.0;3.0;46.0;0.0;0.0;1.0;1.0;;-1.0;3.0;50.0;;;;;;;;;;;;;;
70087386;201807;2018-07-16;0.9;1.0;4.0;34.0;0.0;0.0;1.0;0.0;;2.0;4.0;56.0;;;;;;;;;;;;;;
70087401;201807;2018-07-23;2.6;0.0;2.0;62.0;0.0;0.0;1.0;0.0;;5.0;6.0;32.0;;;;;;;;;;;;;;
70087407;201807;2018-07-23;0.7;0.0;4.0;57.0;0.0;0.0;1.0;1.0;;4.0;4.0;50.0;;;;;;;;;;;;;;
70087415;201807;2018-07-07;0.8;0.0;3.0;49.0;0.0;0.0;1.0;0.0;;2.0;4.0;20.0;;;;;;;;;;;;;;
70087422;201807;2018-07-04;1.0;0.0;3.0;64.0;0.0;0.0;1.0;0.0;;1.0;1.8;55.0;;;;;;;;;;;;;;
70087427;201807;2018-07-26;0.7;0.0;4.0;49.0;0.0;0.0;1.0;2.0;;3.0;3.0;52.0;;;;;;;;;;;;;;
70087434;201807;2018-07-11;1.1;1.0;3.0;24.0;1.0;0.0;0.0;1.0;;2.0;5.0;20.0;;;;;;;;;;;;;;
70087439;201807;2018-07-03;0.8;1.0;3.0;46.0;0.0;0.0;1.0;0.0;;5.0;10.0;2.0;;;;;;;;;;;;;;
70087444;201807;2018-07-11;0.6;1.0;4.0;76.0;0.0;0.0;0.0;0.0;;5.0;6.0;30.0;;;;;;;;;;;;;;
70087448;201807;2018-07-05;1.0;0.0;3.0;39.0;0.0;0.0;0.0;0.0;;2.0;2.0;63.0;;;;;;;;;;;;;;
70087450;201807;2018-07-15;1.1;1.0;3.0;63.0;0.0;0.0;0.0;0.0;;2.0;5.0;50.0;;;;;;;;;;;;;;
70087451;201807;2018-07-06;0.9;0.0;3.0;23.0;0.0;1.0;0.0;0.0;;10.0;20.0;50.0;;;;;;;;;;;;;;
70087482;201807;2018-07-02;2.8;1.0;2.0;55.0;0.0;0.0;1.0;0.0;;-20.0;-10.0;20.0;;;;;;;;;;;;;;
70087483;201807;2018-07-30;0.8;0.0;4.0;64.0;1.0;0.0;1.0;1.0;;2.0;10.0;50.0;;;;;;;;;;;;;;
70087536;201807;2018-07-30;0.9;0.0;3.0;73.0;0.0;0.0;1.0;0.0;;3.0;7.0;60.0;;;;;;;;;;;;;;
70087578;201807;2018-07-19;0.8;0.0;3.0;42.0;0.0;0.0;1.0;0.0;;4.0;5.0;50.0;;;;;;;;;;;;;;
70087579;201807;2018-07-09;0.6;0.0;4.0;70.0;0.0;0.0;1.0;0.0;;2.0;1.0;60.0;;;;;;;;;;;;;;
70087616;201807;2018-07-04;1.0;1.0;3.0;54.0;0.0;0.0;1.0;0.0;;3.0;3.0;9.0;;;;;;;;;;;;;;
70087623;201807;2018-07-18;3.2;0.0;2.0;37.0;0.0;0.0;1.0;1.0;;2.0;5.0;50.0;;;;;;;;;;;;;;
70087627;201807;2018-07-26;2.8;1.0;2.0;80.0;0.0;0.0;0.0;0.0;;-3.0;2.0;50.0;;;;;;;;;;;;;;
70087632;201807;2018-07-21;1.0;1.0;3.0;67.0;0.0;0.0;1.0;0.0;;10.0;40.0;30.0;;;;;;;;;;;;;;
70087649;201807;2018-07-31;0.9;1.0;3.0;55.0;0.0;1.0;0.0;0.0;;12.0;5.0;6.0;;;;;;;;;;;;;;
70087651;201807;2018-07-09;1.0;0.0;3.0;62.0;0.0;1.0;0.0;0.0;;15.0;15.0;50.0;;;;;;;;;;;;;;
70087655;201807;2018-07-03;0.7;1.0;3.0;47.0;0.0;1.0;0.0;0.0;;10.0;2.0;5.0;;;;;;;;;;;;;;
70087684;201807;2018-07-27;0.9;1.0;3.0;35.0;0.0;0.0;1.0;3.0;;2.0;5.0;50.0;;;;;;;;;;;;;;
70087915;201807;2018-07-03;1.0;1.0;3.0;39.0;0.0;0.0;1.0;0.0;;2.0;2.0;5.0;;;;;;;;;;;;;;
70087935;201807;2018-07-25;0.5;1.0;4.0;67.0;0.0;0.0;1.0;0.0;;4.0;1.0;38.0;;;;;;;;;;;;;;
70087953;201807;2018-07-27;0.5;1.0;4.0;55.0;0.0;0.0;1.0;0.0;;2.0;1.0;48.0;;;;;;;;;;;;;;
70087961;201807;2018-07-02;0.5;0.0;4.0;71.0;0.0;0.0;0.0;0.0;;3.0;4.5;60.0;;;;;;;;;;;;;;
70087969;201807;2018-07-19;0.7;0.0;4.0;63.0;0.0;0.0;0.0;0.0;;5.0;3.0;26.0;;;;;;;;;;;;;;
70087977;201807;2018-07-24;0.7;0.0;4.0;57.0;0.0;0.0;1.0;1.0;;2.0;4.0;60.0;;;;;;;;;;;;;;
70087994;201807;2018-07-19;0.8;0.0;4.0;43.0;0.0;0.0;1.0;0.0;;4.0;7.0;30.0;;;;;;;;;;;;;;
70087997;201807;2018-07-07;0.6;0.0;4.0;71.0;0.0;0.0;0.0;0.0;;4.0;21.0;4.0;;;;;;;;;;;;;;
70088027;201807;2018-07-12;0.6;0.0;4.0;33.0;1.0;0.0;0.0;1.0;;2.0;8.0;70.0;;;;;;;;;;;;;;
70088055;201807;2018-07-02;0.5;0.0;4.0;69.0;0.0;0.0;1.0;0.0;;3.0;5.0;60.0;;;;;;;;;;;;;;
70088058;201807;2018-07-14;0.9;0.0;3.0;55.0;1.0;1.0;0.0;0.0;;3.0;5.0;32.0;;;;;;;;;;;;;;
70088062;201807;2018-07-20;0.5;1.0;4.0;60.0;0.0;0.0;0.0;1.0;;3.0;10.0;24.0;;;;;;;;;;;;;;
70088069;201807;2018-07-07;3.8;1.0;1.0;39.0;0.0;0.0;1.0;1.0;;6.0;5.0;30.0;;;;;;;;;;;;;;
70088076;201807;2018-07-02;0.9;0.0;3.0;43.0;0.0;0.0;1.0;1.0;;20.0;-10.0;2.0;;;;;;;;;;;;;;
70088096;201807;2018-07-17;0.8;1.0;3.0;46.0;1.0;0.0;1.0;3.0;;4.0;3.0;3.0;;;;;;;;;;;;;;
70088098;201807;2018-07-24;1.0;1.0;3.0;31.0;0.0;0.0;0.0;0.0;;-1.0;-1.0;50.0;;;;;;;;;;;;;;
70088100;201807;2018-07-06;0.6;0.0;4.0;54.0;0.0;0.0;1.0;0.0;;4.0;2.0;50.0;;;;;;;;;;;;;;
70088103;201807;2018-07-23;1.4;0.0;3.0;58.0;0.0;1.0;1.0;2.0;;7.0;-10.0;20.0;;;;;;;;;;;;;;
70088107;201807;2018-07-23;0.9;0.0;3.0;59.0;0.0;0.0;1.0;0.0;;1.0;4.0;15.0;;;;;;;;;;;;;;
70088115;201807;2018-07-28;3.0;0.0;2.0;53.0;0.0;0.0;0.0;0.0;;5.0;6.0;50.0;;;;;;;;;;;;;;
70088116;201807;2018-07-04;0.5;0.0;4.0;64.0;1.0;0.0;1.0;0.0;;5.0;5.0;30.0;;;;;;;;;;;;;;
70088118;201807;2018-07-07;0.7;1.0;4.0;51.0;0.0;1.0;1.0;1.0;;10.0;3.0;40.0;;;;;;;;;;;;;;
70088126;201807;2018-07-03;0.5;0.0;4.0;44.0;1.0;0.0;1.0;4.0;;1.0;2.0;99.0;;;;;;;;;;;;;;
70088130;201807;2018-07-28;1.0;0.0;3.0;59.0;0.0;0.0;0.0;0.0;;3.0;8.0;30.0;;;;;;;;;;;;;;
70088151;201807;2018-07-09;0.4;0.0;4.0;69.0;0.0;0.0;1.0;0.0;;1.0;5.0;56.0;;;;;;;;;;;;;;
70088178;201807;2018-07-26;0.5;1.0;4.0;46.0;0.0;0.0;0.0;1.0;;4.0;15.0;10.0;;;;;;;;;;;;;;
70088190;201807;2018-07-13;0.6;0.0;4.0;70.0;0.0;0.0;1.0;0.0;;2.0;3.0;30.0;;;;;;;;;;;;;;
70088210;201807;2018-07-12;0.6;0.0;4.0;36.0;1.0;0.0;1.0;3.0;;1.0;2.0;60.0;;;;;;;;;;;;;;
70088217;201807;2018-07-11;2.1;0.0;2.0;41.0;0.0;0.0;1.0;0.0;;10.0;15.0;10.0;;;;;;;;;;;;;;
70088221;201807;2018-07-13;0.9;0.0;3.0;24.0;0.0;0.0;1.0;1.0;;10.0;-10.0;2.0;;;;;;;;;;;;;;
70088222;201807;2018-07-04;0.9;0.0;3.0;63.0;0.0;0.0;1.0;0.0;;1.5;6.0;20.0;;;;;;;;;;;;;;
70088231;201807;2018-07-23;0.8;1.0;3.0;60.0;0.0;0.0;1.0;0.0;;-5.0;10.0;20.0;;;;;;;;;;;;;;
70088238;201807;2018-07-19;1.4;1.0;3.0;48.0;0.0;0.0;1.0;2.0;;2.0;2.0;70.0;;;;;;;;;;;;;;
70088248;201807;2018-07-19;0.4;0.0;4.0;53.0;0.0;0.0;1.0;0.0;;3.0;7.0;50.0;;;;;;;;;;;;;;
70088259;201807;2018-07-28;2.3;1.0;2.0;54.0;0.0;0.0;1.0;0.0;;5.0;10.0;20.0;;;;;;;;;;;;;;
70088262;201807;2018-07-28;0.5;0.0;4.0;71.0;0.0;0.0;1.0;0.0;;4.0;20.0;85.0;;;;;;;;;;;;;;
70088267;201807;2018-07-11;3.4;1.0;2.0;75.0;0.0;0.0;0.0;0.0;;80.0;30.0;19.0;;;;;;;;;;;;;;
70088275;201807;2018-07-25;0.6;0.0;4.0;37.0;0.0;0.0;0.0;0.0;;5.0;5.0;25.0;;;;;;;;;;;;;;
70088306;201807;2018-07-20;0.9;0.0;4.0;30.0;0.0;0.0;1.0;1.0;;2.0;-2.0;79.0;;;;;;;;;;;;;;
70088323;201807;2018-07-06;0.9;1.0;4.0;32.0;0.0;0.0;1.0;2.0;;3.0;3.0;50.0;;;;;;;;;;;;;;
70088326;201807;2018-07-19;0.9;1.0;4.0;34.0;0.0;0.0;1.0;0.0;;2.0;7.0;50.0;;;;;;;;;;;;;;
70088357;201807;2018-07-12;0.5;1.0;4.0;41.0;0.0;0.0;0.0;0.0;;2.0;2.0;50.0;;;;;;;;;;;;;;
70088370;201807;2018-07-25;1.4;0.0;3.0;67.0;0.0;0.0;1.0;0.0;;2.0;3.0;100.0;;;;;;;;;;;;;;
70088371;201807;2018-07-23;0.6;0.0;4.0;61.0;0.0;0.0;1.0;2.0;;2.0;5.0;50.0;;;;;;;;;;;;;;
70088374;201807;2018-07-03;0.7;0.0;4.0;47.0;0.0;0.0;1.0;2.0;;5.0;5.0;50.0;;;;;;;;;;;;;;
70088377;201807;2018-07-16;0.5;0.0;4.0;70.0;0.0;0.0;1.0;0.0;;2.4;2.0;5.0;;;;;;;;;;;;;;
70088379;201807;2018-07-03;0.7;0.0;3.0;56.0;0.0;0.0;1.0;0.0;;2.0;3.0;69.0;;;;;;;;;;;;;;
70088388;201807;2018-07-09;0.6;1.0;4.0;63.0;0.0;0.0;0.0;0.0;;6.0;4.0;30.0;;;;;;;;;;;;;;
70088398;201807;2018-07-20;0.7;0.0;3.0;79.0;0.0;0.0;1.0;0.0;;4.0;12.0;70.0;;;;;;;;;;;;;;
70088408;201807;2018-07-12;2.6;1.0;2.0;60.0;0.0;1.0;1.0;0.0;;;;;;;;;;;;;;;;;;
70088411;201807;2018-07-24;0.5;1.0;4.0;81.0;0.0;0.0;0.0;0.0;;5.0;8.0;5.0;;;;;;;;;;;;;;
70088413;201807;2018-07-19;0.5;1.0;4.0;68.0;0.0;0.0;0.0;0.0;;3.0;2.0;20.0;;;;;;;;;;;;;;
70088416;201807;2018-07-04;0.5;1.0;4.0;77.0;0.0;1.0;1.0;0.0;;3.0;3.0;18.0;;;;;;;;;;;;;;
70088429;201807;2018-07-04;1.1;0.0;3.0;70.0;0.0;0.0;1.0;0.0;;2.0;3.0;20.0;;;;;;;;;;;;;;
70088434;201807;2018-07-03;0.8;1.0;4.0;29.0;0.0;0.0;1.0;0.0;;5.0;-5.0;27.0;;;;;;;;;;;;;;
70088444;201807;2018-07-13;3.0;0.0;2.0;57.0;0.0;0.0;0.0;0.0;;12.0;12.0;30.0;;;;;;;;;;;;;;
70088457;201807;2018-07-23;0.9;1.0;3.0;32.0;0.0;1.0;0.0;2.0;;10.0;-7.0;70.0;;;;;;;;;;;;;;
70088458;201807;2018-07-03;2.5;1.0;2.0;55.0;0.0;0.0;0.0;0.0;;3.0;7.0;75.0;;;;;;;;;;;;;;
70088467;201807;2018-07-24;1.5;0.0;3.0;38.0;0.0;0.0;1.0;2.0;;6.0;6.0;50.0;;;;;;;;;;;;;;
70088478;201807;2018-07-15;0.7;0.0;4.0;44.0;0.0;0.0;1.0;1.0;;4.0;3.0;25.0;;;;;;;;;;;;;;
70088487;201807;2018-07-16;0.8;0.0;4.0;67.0;1.0;0.0;1.0;0.0;;2.0;4.0;80.0;;;;;;;;;;;;;;
70088502;201807;2018-07-02;2.9;0.0;2.0;61.0;0.0;0.0;1.0;0.0;;5.0;10.0;50.0;;;;;;;;;;;;;;
70088524;201807;2018-07-16;0.6;0.0;4.0;68.0;0.0;0.0;0.0;0.0;;2.5;1.5;34.0;;;;;;;;;;;;;;
70088527;201807;2018-07-31;1.0;1.0;3.0;51.0;0.0;0.0;0.0;0.0;;15.0;10.0;20.0;;;;;;;;;;;;;;
70088530;201807;2018-07-03;1.0;0.0;3.0;70.0;0.0;0.0;0.0;0.0;;3.0;5.0;50.0;;;;;;;;;;;;;;
70088532;201807;2018-07-26;0.9;1.0;3.0;60.0;0.0;1.0;1.0;1.0;;45.0;5.0;50.0;;;;;;;;;;;;;;
70088543;201807;2018-07-03;0.6;1.0;4.0;33.0;0.0;0.0;0.0;0.0;;5.0;5.0;60.0;;;;;;;;;;;;;;
70088545;201807;2018-07-03;0.5;0.0;4.0;65.0;0.0;0.0;1.0;0.0;;2.5;5.0;65.0;;;;;;;;;;;;;;
70088557;201807;2018-07-15;0.7;1.0;3.0;55.0;1.0;0.0;0.0;0.0;;10.0;5.0;64.0;;;;;;;;;;;;;;
70088566;201807;2018-07-17;3.2;1.0;2.0;60.0;0.0;0.0;1.0;2.0;;10.0;5.0;28.0;;;;;;;;;;;;;;
70088575;201807;2018-07-25;0.8;1.0;3.0;25.0;0.0;0.0;1.0;1.0;;2.0;5.0;5.0;;;;;;;;;;;;;;
70088582;201807;2018-07-03;1.0;1.0;3.0;50.0;0.0;1.0;1.0;0.0;;70.0;20.0;49.0;;;;;;;;;;;;;;
70088585;201807;2018-07-14;0.7;0.0;3.0;63.0;0.0;0.0;1.0;0.0;;1.5;2.0;50.0;;;;;;;;;;;;;;
70088600;201807;2018-07-18;0.4;1.0;4.0;47.0;1.0;1.0;0.0;0.0;;2.0;7.0;71.0;;;;;;;;;;;;;;
70088616;201807;2018-07-24;0.6;1.0;4.0;28.0;1.0;0.0;0.0;0.0;;-2.0;-10.0;5.0;;;;;;;;;;;;;;
70088623;201807;2018-07-03;0.6;1.0;4.0;33.0;0.0;0.0;1.0;2.0;;3.0;6.0;20.0;;;;;;;;;;;;;;
70088624;201807;2018-07-06;0.9;1.0;3.0;43.0;0.0;0.0;1.0;1.0;;1.0;25.0;25.0;;;;;;;;;;;;;;
70088625;201807;2018-07-12;0.9;0.0;3.0;60.0;0.0;0.0;1.0;4.0;;2.0;1.0;60.0;;;;;;;;;;;;;;
