userid;wid;date;weight;female;educ;age;hispanic;black;couple;num_kids;owner;inflation;house_price_change;prob_stocks_up;num_lit_q1;num_lit_q1_correct;num_lit_q2;num_lit_q2_correct;num_lit_q3;num_lit_q3_correct;num_lit_q5;num_lit_q5_correct;num_lit_q6;num_lit_q6_correct;num_lit_q8;num_lit_q8_correct;num_lit_q9;num_lit_q9_correct
70082918;201804;2018-04-30;0.6;1.0;3.0;47.0;0.0;0.0;1.0;2.0;;2.5;2.0;50.0;;;;;;;;;;;;;;
70083004;201804;2018-04-03;0.7;0.0;3.0;59.0;0.0;0.0;0.0;1.0;;2.0;-2.0;6.0;;;;;;;;;;;;;;
70083053;201804;2018-04-10;0.6;0.0;4.0;73.0;0.0;0.0;1.0;0.0;;2.0;2.0;50.0;;;;;;;;;;;;;;
70083061;201804;2018-04-30;0.8;0.0;3.0;30.0;0.0;0.0;1.0;2.0;;2.5;2.0;50.0;;;;;;;;;;;;;;
70083069;201804;2018-04-05;0.6;0.0;4.0;29.0;1.0;0.0;1.0;0.0;;2.0;15.0;5.0;;;;;;;;;;;;;;
70083169;201804;2018-04-03;0.7;0.0;3.0;59.0;1.0;0.0;0.0;1.0;;5.0;10.0;20.0;;;;;;;;;;;;;;
70083301;201804;2018-04-03;0.7;0.0;4.0;36.0;0.0;0.0;1.0;0.0;;4.0;5.0;75.0;;;;;;;;;;;;;;
70083304;201804;2018-04-07;0.6;1.0;4.0;59.0;0.0;0.0;1.0;0.0;;2.0;4.0;30.0;;;;;;;;;;;;;;
70083340;201804;2018-04-11;0.4;0.0;4.0;54.0;0.0;0.0;1.0;0.0;;3.5;6.0;38.0;;;;;;;;;;;;;;
70083368;201804;2018-04-03;0.7;1.0;4.0;25.0;1.0;0.0;1.0;0.0;;15.0;12.0;16.0;;;;;;;;;;;;;;
70083380;201804;2018-04-04;1.1;0.0;3.0;63.0;0.0;0.0;1.0;0.0;;3.0;-3.0;10.0;;;;;;;;;;;;;;
70083381;201804;2018-04-18;3.1;1.0;2.0;43.0;0.0;0.0;0.0;2.0;;5.0;-1.0;7.0;;;;;;;;;;;;;;
70083409;201804;2018-04-23;0.6;0.0;4.0;48.0;0.0;0.0;1.0;1.0;;2.0;4.0;20.0;;;;;;;;;;;;;;
70083445;201804;2018-04-21;0.7;1.0;4.0;29.0;0.0;0.0;1.0;0.0;;2.0;1.5;60.0;;;;;;;;;;;;;;
70083453;201804;2018-04-03;0.9;1.0;3.0;30.0;0.0;1.0;0.0;1.0;;-3.0;4.0;3.0;;;;;;;;;;;;;;
70083496;201804;2018-04-15;1.9;0.0;2.0;44.0;0.0;0.0;1.0;0.0;;-2.0;1.0;50.0;;;;;;;;;;;;;;
70083504;201804;2018-04-07;1.0;0.0;3.0;82.0;0.0;0.0;1.0;0.0;;2.0;15.0;50.0;;;;;;;;;;;;;;
70083531;201804;2018-04-23;0.4;1.0;4.0;51.0;0.0;0.0;0.0;0.0;;-1.0;2.0;50.0;;;;;;;;;;;;;;
70083535;201804;2018-04-18;0.6;1.0;4.0;63.0;0.0;0.0;1.0;0.0;;2.0;4.0;74.0;;;;;;;;;;;;;;
70083588;201804;2018-04-30;1.1;1.0;3.0;60.0;0.0;0.0;0.0;0.0;;3.0;4.0;61.0;;;;;;;;;;;;;;
70083595;201804;2018-04-19;0.7;0.0;3.0;53.0;0.0;0.0;0.0;0.0;;-2.0;10.0;80.0;;;;;;;;;;;;;;
70083626;201804;2018-04-25;0.4;1.0;4.0;30.0;0.0;0.0;1.0;1.0;;8.0;6.0;50.0;;;;;;;;;;;;;;
70083676;201804;2018-04-14;0.7;0.0;4.0;28.0;0.0;0.0;1.0;0.0;;3.0;2.5;40.0;;;;;;;;;;;;;;
70083688;201804;2018-04-03;0.6;0.0;4.0;78.0;0.0;0.0;0.0;0.0;;3.0;12.0;30.0;;;;;;;;;;;;;;
70083694;201804;2018-04-09;0.9;1.0;3.0;28.0;0.0;0.0;1.0;2.0;;3.0;-15.0;65.0;;;;;;;;;;;;;;
70083937;201804;2018-04-04;1.0;1.0;3.0;55.0;0.0;0.0;1.0;0.0;;6.0;8.0;30.0;;;;;;;;;;;;;;
70083945;201804;2018-04-18;0.6;0.0;4.0;27.0;0.0;0.0;1.0;0.0;;4.2;12.0;40.0;;;;;;;;;;;;;;
70083954;201804;2018-04-15;1.2;1.0;3.0;25.0;0.0;0.0;0.0;0.0;;4.0;4.0;32.0;;;;;;;;;;;;;;
70083958;201804;2018-04-14;0.8;1.0;4.0;27.0;0.0;1.0;0.0;0.0;;15.0;10.0;50.0;;;;;;;;;;;;;;
70083965;201804;2018-04-10;1.1;1.0;3.0;54.0;0.0;0.0;1.0;2.0;;2.0;2.0;5.0;;;;;;;;;;;;;;
70083999;201804;2018-04-13;0.8;1.0;4.0;47.0;1.0;0.0;1.0;4.0;;3.0;-3.0;25.0;;;;;;;;;;;;;;
70084004;201804;2018-04-03;0.8;0.0;4.0;67.0;0.0;0.0;1.0;1.0;;2.0;2.0;53.0;;;;;;;;;;;;;;
70084012;201804;2018-04-15;1.0;0.0;3.0;67.0;0.0;0.0;1.0;0.0;;4.0;5.0;5.0;;;;;;;;;;;;;;
70084022;201804;2018-04-07;0.6;1.0;4.0;53.0;1.0;0.0;1.0;0.0;;1.7;3.5;65.0;;;;;;;;;;;;;;
70084024;201804;2018-04-30;0.7;0.0;4.0;27.0;0.0;0.0;1.0;0.0;;3.0;6.0;30.0;;;;;;;;;;;;;;
70084034;201804;2018-04-05;0.5;0.0;4.0;67.0;0.0;0.0;1.0;0.0;;4.0;2.0;8.0;;;;;;;;;;;;;;
70084066;201804;2018-04-04;0.5;0.0;4.0;76.0;0.0;0.0;1.0;0.0;;3.0;8.0;73.0;;;;;;;;;;;;;;
70084084;201804;2018-04-26;3.0;1.0;2.0;29.0;0.0;0.0;1.0;2.0;;-2.0;1.0;30.0;;;;;;;;;;;;;;
70084091;201804;2018-04-12;3.2;0.0;2.0;63.0;0.0;0.0;1.0;0.0;;5.0;5.0;58.0;;;;;;;;;;;;;;
70084099;201804;2018-04-12;1.1;1.0;3.0;39.0;0.0;0.0;1.0;4.0;;-2.0;3.0;50.0;;;;;;;;;;;;;;
70084108;201804;2018-04-23;0.5;0.0;4.0;62.0;0.0;0.0;1.0;1.0;;7.0;20.0;20.0;;;;;;;;;;;;;;
70084115;201804;2018-04-09;0.6;1.0;3.0;46.0;1.0;0.0;1.0;0.0;;30.0;10.0;21.0;;;;;;;;;;;;;;
70084118;201804;2018-04-10;2.1;0.0;2.0;62.0;0.0;0.0;1.0;0.0;;3.0;12.0;50.0;;;;;;;;;;;;;;
70084119;201804;2018-04-12;2.5;1.0;2.0;60.0;0.0;0.0;0.0;0.0;;5.0;8.0;20.0;;;;;;;;;;;;;;
70084121;201804;2018-04-14;1.2;1.0;3.0;34.0;0.0;0.0;1.0;2.0;;1.0;5.0;61.0;;;;;;;;;;;;;;
70084146;201804;2018-04-18;1.1;0.0;3.0;61.0;0.0;0.0;0.0;0.0;;4.0;4.0;75.0;;;;;;;;;;;;;;
70084151;201804;2018-04-12;0.4;0.0;4.0;69.0;0.0;0.0;1.0;0.0;;2.0;5.0;52.0;;;;;;;;;;;;;;
70084166;201804;2018-04-25;2.5;1.0;2.0;79.0;0.0;0.0;0.0;0.0;;2.0;10.0;10.0;;;;;;;;;;;;;;
70084167;201804;2018-04-21;0.5;0.0;4.0;64.0;0.0;0.0;0.0;0.0;;5.0;5.0;40.0;;;;;;;;;;;;;;
70084173;201804;2018-04-03;0.6;0.0;4.0;34.0;0.0;0.0;0.0;0.0;;3.0;2.0;30.0;;;;;;;;;;;;;;
70084183;201804;2018-04-07;0.5;1.0;4.0;63.0;0.0;0.0;1.0;0.0;;4.0;4.0;20.0;;;;;;;;;;;;;;
70084190;201804;2018-04-22;0.8;0.0;3.0;79.0;0.0;0.0;1.0;0.0;;3.0;3.0;4.0;;;;;;;;;;;;;;
70084193;201804;2018-04-11;0.6;1.0;4.0;41.0;0.0;0.0;1.0;2.0;;3.0;5.0;45.0;;;;;;;;;;;;;;
70084203;201804;2018-04-11;1.1;1.0;3.0;51.0;0.0;0.0;1.0;0.0;;3.0;5.0;10.0;;;;;;;;;;;;;;
70084209;201804;2018-04-07;0.8;0.0;4.0;46.0;0.0;0.0;1.0;2.0;;0.0;3.0;50.0;;;;;;;;;;;;;;
70084230;201804;2018-04-13;0.7;1.0;3.0;62.0;0.0;0.0;0.0;0.0;;5.0;-3.0;10.0;;;;;;;;;;;;;;
70084236;201804;2018-04-30;0.9;1.0;4.0;33.0;0.0;0.0;1.0;0.0;;3.0;5.0;70.0;;;;;;;;;;;;;;
70084246;201804;2018-04-25;1.3;1.0;3.0;48.0;0.0;0.0;1.0;4.0;;2.0;10.0;60.0;;;;;;;;;;;;;;
70084252;201804;2018-04-12;0.6;1.0;4.0;60.0;0.0;0.0;0.0;0.0;;3.0;4.0;24.0;;;;;;;;;;;;;;
70084258;201804;2018-04-12;0.6;0.0;3.0;42.0;0.0;0.0;1.0;3.0;;4.0;3.0;49.0;;;;;;;;;;;;;;
70084262;201804;2018-04-20;0.6;1.0;4.0;31.0;1.0;1.0;1.0;2.0;;4.0;4.0;49.0;;;;;;;;;;;;;;
70084267;201804;2018-04-21;1.0;0.0;3.0;67.0;0.0;0.0;1.0;0.0;;4.0;5.0;70.0;;;;;;;;;;;;;;
70084268;201804;2018-04-03;0.6;1.0;4.0;52.0;0.0;0.0;0.0;0.0;;5.0;17.0;20.0;;;;;;;;;;;;;;
70084270;201804;2018-04-04;0.5;0.0;4.0;60.0;0.0;0.0;1.0;0.0;;3.0;15.0;50.0;;;;;;;;;;;;;;
70084284;201804;2018-04-06;0.8;1.0;3.0;71.0;0.0;0.0;1.0;0.0;;95.0;25.0;5.0;;;;;;;;;;;;;;
70084301;201804;2018-04-05;1.0;1.0;3.0;42.0;0.0;1.0;0.0;2.0;;10.0;4.0;6.0;;;;;;;;;;;;;;
70084303;201804;2018-04-19;0.9;1.0;3.0;28.0;0.0;0.0;1.0;4.0;;4.0;5.0;46.0;;;;;;;;;;;;;;
70084306;201804;2018-04-08;0.8;0.0;4.0;46.0;1.0;0.0;1.0;2.0;;3.0;5.0;0.0;;;;;;;;;;;;;;
70084310;201804;2018-04-07;0.8;0.0;4.0;65.0;0.0;1.0;1.0;1.0;;3.0;3.0;4.0;;;;;;;;;;;;;;
70084313;201804;2018-04-11;0.8;0.0;4.0;48.0;0.0;0.0;1.0;1.0;;2.0;5.0;40.0;;;;;;;;;;;;;;
70084320;201804;2018-04-22;0.6;0.0;4.0;49.0;0.0;0.0;1.0;4.0;;3.0;5.0;40.0;;;;;;;;;;;;;;
70084327;201804;2018-04-14;1.0;1.0;3.0;70.0;0.0;0.0;1.0;0.0;;10.0;10.0;29.0;;;;;;;;;;;;;;
70084340;201804;2018-04-05;1.1;0.0;3.0;65.0;0.0;0.0;1.0;0.0;;4.0;10.0;61.0;;;;;;;;;;;;;;
70084376;201804;2018-04-18;0.4;1.0;4.0;53.0;1.0;0.0;1.0;1.0;;6.0;6.0;45.0;;;;;;;;;;;;;;
70084377;201804;2018-04-05;0.5;0.0;4.0;24.0;0.0;0.0;0.0;0.0;;-2.0;5.0;20.0;;;;;;;;;;;;;;
70084400;201804;2018-04-07;4.2;0.0;2.0;59.0;0.0;0.0;1.0;0.0;;3.0;5.0;40.0;;;;;;;;;;;;;;
70084435;201804;2018-04-05;0.8;1.0;3.0;35.0;0.0;0.0;0.0;1.0;;2.0;4.0;50.0;;;;;;;;;;;;;;
70084449;201804;2018-04-25;3.5;0.0;2.0;39.0;0.0;0.0;1.0;1.0;;-2.0;2.0;30.0;;;;;;;;;;;;;;
70084452;201804;2018-04-18;2.8;1.0;2.0;56.0;0.0;0.0;1.0;1.0;;2.0;2.0;30.0;;;;;;;;;;;;;;
70084455;201804;2018-04-19;1.0;1.0;3.0;22.0;0.0;1.0;0.0;0.0;;2.0;3.0;10.0;;;;;;;;;;;;;;
70084456;201804;2018-04-06;0.4;0.0;4.0;44.0;0.0;0.0;1.0;0.0;;3.0;3.0;65.0;;;;;;;;;;;;;;
70084466;201804;2018-04-10;0.8;0.0;4.0;72.0;1.0;0.0;1.0;0.0;;3.0;5.0;11.0;;;;;;;;;;;;;;
70084482;201804;2018-04-06;0.6;0.0;4.0;38.0;0.0;0.0;1.0;1.0;;2.0;1.8;50.0;;;;;;;;;;;;;;
70084491;201804;2018-04-17;0.4;0.0;4.0;79.0;0.0;0.0;0.0;0.0;;3.0;10.0;10.0;;;;;;;;;;;;;;
70084492;201804;2018-04-11;0.6;1.0;4.0;70.0;0.0;1.0;0.0;0.0;;-5.0;2.0;10.0;;;;;;;;;;;;;;
70084493;201804;2018-04-05;2.1;0.0;2.0;65.0;0.0;0.0;1.0;2.0;;3.0;3.0;50.0;;;;;;;;;;;;;;
70084518;201804;2018-04-08;0.5;0.0;4.0;53.0;1.0;0.0;1.0;0.0;;5.0;7.0;55.0;;;;;;;;;;;;;;
70084523;201804;2018-04-21;0.5;0.0;4.0;60.0;0.0;0.0;0.0;0.0;;3.0;3.5;18.0;;;;;;;;;;;;;;
70084533;201804;2018-04-23;0.9;0.0;4.0;39.0;0.0;0.0;1.0;2.0;;1.0;2.0;10.0;;;;;;;;;;;;;;
70084542;201804;2018-04-04;0.9;1.0;3.0;64.0;0.0;0.0;0.0;1.0;;-3.0;4.0;40.0;;;;;;;;;;;;;;
70084550;201804;2018-04-23;0.9;1.0;3.0;51.0;1.0;0.0;1.0;3.0;;3.0;3.0;5.0;;;;;;;;;;;;;;
70084584;201804;2018-04-16;0.8;1.0;3.0;53.0;0.0;0.0;0.0;0.0;;70.0;20.0;49.0;;;;;;;;;;;;;;
70084587;201804;2018-04-19;0.9;1.0;3.0;51.0;0.0;1.0;1.0;1.0;;18.0;15.0;20.0;;;;;;;;;;;;;;
70084594;201804;2018-04-19;2.3;1.0;2.0;79.0;0.0;0.0;0.0;0.0;;-50.0;-10.0;20.0;;;;;;;;;;;;;;
70084597;201804;2018-04-11;0.4;1.0;4.0;46.0;0.0;0.0;1.0;0.0;;7.0;-9.0;2.0;;;;;;;;;;;;;;
70084602;201804;2018-04-11;0.4;0.0;4.0;44.0;0.0;1.0;1.0;2.0;;-1.0;5.0;75.0;;;;;;;;;;;;;;
70084609;201804;2018-04-24;0.7;1.0;4.0;26.0;0.0;0.0;1.0;1.0;;5.0;4.0;60.0;;;;;;;;;;;;;;
70084842;201804;2018-04-16;0.8;1.0;3.0;52.0;0.0;0.0;0.0;0.0;;30.0;15.0;30.0;;;;;;;;;;;;;;
70084852;201804;2018-04-16;3.2;1.0;2.0;55.0;0.0;0.0;0.0;0.0;;2.0;10.0;41.0;;;;;;;;;;;;;;
70084877;201804;2018-04-12;0.6;0.0;4.0;25.0;0.0;0.0;1.0;1.0;;3.0;5.0;40.0;;;;;;;;;;;;;;
70084894;201804;2018-04-30;2.6;0.0;2.0;48.0;0.0;0.0;1.0;1.0;;10.0;10.0;20.0;;;;;;;;;;;;;;
70084917;201804;2018-04-04;0.5;0.0;4.0;62.0;0.0;0.0;0.0;0.0;;2.0;2.0;20.0;;;;;;;;;;;;;;
70084969;201804;2018-04-08;3.1;1.0;2.0;37.0;0.0;0.0;1.0;0.0;;15.0;3.0;7.0;;;;;;;;;;;;;;
70084992;201804;2018-04-07;0.5;0.0;4.0;27.0;0.0;0.0;0.0;0.0;;3.0;5.0;50.0;;;;;;;;;;;;;;
70085015;201804;2018-04-05;1.0;0.0;3.0;78.0;0.0;1.0;0.0;0.0;;10.0;30.0;20.0;;;;;;;;;;;;;;
70085024;201804;2018-04-14;1.1;1.0;3.0;55.0;0.0;0.0;0.0;1.0;;25.0;35.0;10.0;;;;;;;;;;;;;;
70085051;201804;2018-04-25;0.6;1.0;4.0;37.0;0.0;1.0;1.0;1.0;;15.0;15.0;50.0;;;;;;;;;;;;;;
70085067;201804;2018-04-04;0.5;0.0;4.0;64.0;0.0;0.0;0.0;0.0;;4.0;12.0;51.0;;;;;;;;;;;;;;
70085101;201804;2018-04-12;0.8;0.0;4.0;27.0;0.0;0.0;1.0;0.0;;1.0;2.0;46.0;;;;;;;;;;;;;;
70085116;201804;2018-04-11;0.5;1.0;4.0;41.0;0.0;0.0;0.0;1.0;;2.0;10.0;75.0;;;;;;;;;;;;;;
70085126;201804;2018-04-04;0.9;1.0;3.0;62.0;0.0;0.0;0.0;0.0;;25.0;10.0;39.0;;;;;;;;;;;;;;
70085159;201804;2018-04-23;0.8;1.0;3.0;65.0;0.0;0.0;0.0;0.0;;3.0;5.0;20.0;;;;;;;;;;;;;;
70085170;201804;2018-04-21;0.6;0.0;4.0;64.0;0.0;0.0;1.0;0.0;;3.5;4.0;49.0;;;;;;;;;;;;;;
70085186;201804;2018-04-10;0.5;0.0;4.0;74.0;0.0;0.0;1.0;0.0;;50.0;10.0;40.0;;;;;;;;;;;;;;
70085191;201804;2018-04-23;0.8;0.0;4.0;62.0;0.0;0.0;1.0;0.0;;2.0;5.0;50.0;;;;;;;;;;;;;;
70085228;201804;2018-04-29;0.9;0.0;3.0;53.0;0.0;0.0;1.0;2.0;;4.0;5.0;50.0;;;;;;;;;;;;;;
70085235;201804;2018-04-20;0.7;0.0;4.0;38.0;0.0;0.0;0.0;0.0;;3.0;6.0;50.0;;;;;;;;;;;;;;
70085276;201804;2018-04-10;1.0;1.0;3.0;64.0;0.0;0.0;0.0;1.0;;3.0;5.0;30.0;;;;;;;;;;;;;;
70085277;201804;2018-04-04;0.6;0.0;4.0;83.0;0.0;0.0;1.0;0.0;;3.0;1.0;30.0;;;;;;;;;;;;;;
70085283;201804;2018-04-09;0.5;0.0;4.0;60.0;0.0;0.0;0.0;0.0;;4.0;4.0;70.0;;;;;;;;;;;;;;
70085297;201804;2018-04-28;0.8;1.0;3.0;57.0;0.0;0.0;0.0;0.0;;2.6;4.2;20.0;;;;;;;;;;;;;;
70085320;201804;2018-04-11;0.4;0.0;4.0;70.0;0.0;0.0;1.0;0.0;;5.0;5.0;78.0;;;;;;;;;;;;;;
70085342;201804;2018-04-04;0.5;1.0;4.0;48.0;0.0;0.0;1.0;1.0;;2.0;5.0;7.0;;;;;;;;;;;;;;
70085344;201804;2018-04-30;0.4;0.0;4.0;57.0;0.0;0.0;1.0;1.0;;4.0;4.0;60.0;;;;;;;;;;;;;;
70085361;201804;2018-04-07;1.1;0.0;3.0;59.0;0.0;0.0;1.0;0.0;;3.5;5.0;60.0;;;;;;;;;;;;;;
70085366;201804;2018-04-04;0.5;0.0;4.0;34.0;0.0;0.0;0.0;0.0;;3.0;-4.0;6.0;;;;;;;;;;;;;;
70085373;201804;2018-04-25;0.6;1.0;4.0;86.0;0.0;0.0;0.0;0.0;;-20.0;6.0;46.0;;;;;;;;;;;;;;
70085386;201804;2018-04-27;0.5;1.0;4.0;68.0;0.0;0.0;1.0;3.0;;5.0;4.0;50.0;;;;;;;;;;;;;;
70085400;201804;2018-04-30;0.6;1.0;4.0;39.0;0.0;0.0;1.0;4.0;;3.0;-5.0;36.0;;;;;;;;;;;;;;
70085402;201804;2018-04-09;1.3;1.0;3.0;48.0;1.0;0.0;1.0;2.0;;20.0;5.0;25.0;;;;;;;;;;;;;;
70085403;201804;2018-04-08;0.5;1.0;4.0;46.0;0.0;0.0;0.0;0.0;;2.0;3.0;3.0;;;;;;;;;;;;;;
70085455;201804;2018-04-04;0.6;0.0;4.0;66.0;0.0;0.0;1.0;0.0;;3.0;4.0;50.0;;;;;;;;;;;;;;
70085469;201804;2018-04-04;1.1;0.0;3.0;54.0;0.0;0.0;0.0;0.0;;3.0;3.0;20.0;;;;;;;;;;;;;;
70085472;201804;2018-04-29;3.9;0.0;2.0;41.0;0.0;0.0;1.0;2.0;;6.0;4.0;25.0;;;;;;;;;;;;;;
70085476;201804;2018-04-03;0.6;1.0;4.0;25.0;0.0;0.0;1.0;0.0;;15.0;5.0;30.0;;;;;;;;;;;;;;
70085487;201804;2018-04-11;0.6;0.0;4.0;59.0;0.0;0.0;0.0;0.0;;10.0;8.0;35.0;;;;;;;;;;;;;;
70085493;201804;2018-04-04;0.5;0.0;4.0;68.0;0.0;0.0;1.0;0.0;;3.0;5.0;30.0;;;;;;;;;;;;;;
70085501;201804;2018-04-04;0.6;1.0;4.0;67.0;0.0;0.0;1.0;0.0;;2.0;3.0;31.0;;;;;;;;;;;;;;
70085516;201804;2018-04-21;0.6;1.0;4.0;26.0;0.0;0.0;0.0;0.0;;4.0;2.0;40.0;;;;;;;;;;;;;;
70085551;201804;2018-04-03;1.1;0.0;3.0;65.0;0.0;0.0;0.0;0.0;;2.0;1.0;2.0;;;;;;;;;;;;;;
70085566;201804;2018-04-25;0.4;0.0;4.0;82.0;0.0;0.0;1.0;0.0;;2.0;4.0;66.0;;;;;;;;;;;;;;
70085568;201804;2018-04-24;0.7;1.0;4.0;27.0;0.0;0.0;1.0;0.0;;2.0;5.0;50.0;;;;;;;;;;;;;;
70085577;201804;2018-04-24;0.8;0.0;4.0;29.0;0.0;0.0;1.0;1.0;;3.0;5.0;40.0;;;;;;;;;;;;;;
70085589;201804;2018-04-03;0.4;0.0;4.0;70.0;0.0;0.0;1.0;1.0;;2.0;5.0;50.0;;;;;;;;;;;;;;
70085599;201804;2018-04-25;1.2;0.0;3.0;26.0;0.0;0.0;0.0;0.0;;3.0;5.0;50.0;;;;;;;;;;;;;;
70085600;201804;2018-04-03;2.4;0.0;2.0;70.0;0.0;0.0;0.0;0.0;;10.0;8.0;10.0;;;;;;;;;;;;;;
70085609;201804;2018-04-30;0.7;0.0;3.0;51.0;0.0;0.0;1.0;1.0;;3.0;2.0;40.0;;;;;;;;;;;;;;
70085616;201804;2018-04-16;0.5;0.0;4.0;44.0;0.0;0.0;1.0;1.0;;1.0;1.0;55.0;;;;;;;;;;;;;;
70085617;201804;2018-04-07;0.5;1.0;4.0;65.0;0.0;0.0;0.0;0.0;;2.0;7.0;83.0;;;;;;;;;;;;;;
70085635;201804;2018-04-04;0.8;1.0;4.0;66.0;0.0;0.0;1.0;0.0;;2.0;6.5;50.0;;;;;;;;;;;;;;
70085653;201804;2018-04-17;0.7;0.0;4.0;30.0;1.0;0.0;1.0;1.0;;4.0;4.0;55.0;;;;;;;;;;;;;;
70085665;201804;2018-04-22;0.5;1.0;4.0;66.0;0.0;0.0;0.0;0.0;;8.0;10.0;60.0;;;;;;;;;;;;;;
70085669;201804;2018-04-03;0.9;0.0;4.0;35.0;0.0;0.0;1.0;1.0;;2.0;4.0;30.0;;;;;;;;;;;;;;
70085671;201804;2018-04-05;0.7;0.0;3.0;64.0;0.0;0.0;1.0;0.0;;5.0;10.0;70.0;;;;;;;;;;;;;;
70085672;201804;2018-04-23;0.6;0.0;4.0;56.0;0.0;0.0;1.0;1.0;;2.0;2.0;75.0;;;;;;;;;;;;;;
70085676;201804;2018-04-30;1.3;0.0;3.0;44.0;1.0;0.0;0.0;0.0;;8.0;4.0;10.0;;;;;;;;;;;;;;
70085688;201804;2018-04-24;0.8;0.0;4.0;28.0;0.0;0.0;1.0;0.0;;3.0;5.0;45.0;;;;;;;;;;;;;;
70085712;201804;2018-04-11;0.7;0.0;3.0;67.0;0.0;0.0;1.0;0.0;;2.0;5.0;50.0;;;;;;;;;;;;;;
70085715;201804;2018-04-23;0.5;1.0;4.0;28.0;0.0;0.0;1.0;2.0;;7.0;7.0;15.0;;;;;;;;;;;;;;
70085716;201804;2018-04-28;0.6;0.0;4.0;34.0;0.0;0.0;1.0;0.0;;1.0;1.0;61.0;;;;;;;;;;;;;;
70085746;201804;2018-04-24;1.2;1.0;3.0;28.0;0.0;0.0;1.0;0.0;;3.5;3.0;50.0;;;;;;;;;;;;;;
70085754;201804;2018-04-11;0.4;1.0;4.0;31.0;1.0;0.0;1.0;2.0;;20.0;2.0;30.0;;;;;;;;;;;;;;
70085756;201804;2018-04-30;0.5;0.0;4.0;47.0;0.0;0.0;1.0;2.0;;5.0;5.0;50.0;;;;;;;;;;;;;;
70085775;201804;2018-04-10;0.8;1.0;4.0;47.0;0.0;0.0;0.0;0.0;;5.0;5.0;50.0;;;;;;;;;;;;;;
70085786;201804;2018-04-03;0.6;1.0;4.0;34.0;1.0;0.0;1.0;0.0;;1.0;5.0;50.0;;;;;;;;;;;;;;
70085790;201804;2018-04-22;1.1;0.0;3.0;62.0;0.0;0.0;0.0;0.0;;3.0;1.0;30.0;;;;;;;;;;;;;;
70085791;201804;2018-04-05;3.2;0.0;2.0;58.0;0.0;0.0;1.0;0.0;;3.5;6.0;70.0;;;;;;;;;;;;;;
70085797;201804;2018-04-15;0.8;1.0;4.0;26.0;0.0;0.0;0.0;0.0;;2.0;5.0;50.0;;;;;;;;;;;;;;
70085830;201804;2018-04-04;2.8;0.0;2.0;63.0;0.0;0.0;1.0;0.0;;2.0;2.0;60.0;;;;;;;;;;;;;;
70085832;201804;2018-04-13;1.0;0.0;3.0;59.0;0.0;0.0;1.0;0.0;;2.0;2.0;50.0;;;;;;;;;;;;;;
70085836;201804;2018-04-25;0.4;1.0;4.0;32.0;0.0;0.0;0.0;0.0;;3.0;5.0;20.0;;;;;;;;;;;;;;
70085843;201804;2018-04-30;0.8;0.0;4.0;27.0;1.0;0.0;0.0;0.0;;5.0;10.0;40.0;;;;;;;;;;;;;;
70085858;201804;2018-04-24;0.4;0.0;4.0;68.0;0.0;0.0;0.0;0.0;;3.0;8.0;35.0;;;;;;;;;;;;;;
70085862;201804;2018-04-24;0.7;0.0;3.0;59.0;0.0;0.0;1.0;0.0;;3.0;3.0;30.0;;;;;;;;;;;;;;
70085891;201804;2018-04-15;0.8;1.0;4.0;67.0;0.0;0.0;0.0;0.0;;8.0;8.0;20.0;;;;;;;;;;;;;;
70085900;201804;2018-04-04;0.5;0.0;4.0;65.0;0.0;0.0;1.0;0.0;;3.0;10.0;80.0;;;;;;;;;;;;;;
70085907;201804;2018-04-24;0.8;1.0;4.0;25.0;0.0;0.0;0.0;5.0;;-5.0;0.0;2.0;;;;;;;;;;;;;;
70085913;201804;2018-04-04;0.8;0.0;4.0;41.0;0.0;0.0;1.0;2.0;;3.0;5.0;70.0;;;;;;;;;;;;;;
70085924;201804;2018-04-04;0.8;0.0;3.0;69.0;0.0;0.0;0.0;0.0;;2.5;5.0;60.0;;;;;;;;;;;;;;
70085933;201804;2018-04-19;0.6;1.0;4.0;50.0;0.0;0.0;1.0;2.0;;3.0;3.0;50.0;;;;;;;;;;;;;;
70085959;201804;2018-04-25;0.8;1.0;4.0;51.0;0.0;0.0;1.0;2.0;;8.0;5.0;74.0;;;;;;;;;;;;;;
70085964;201804;2018-04-28;1.3;1.0;3.0;74.0;0.0;0.0;0.0;0.0;;3.0;2.0;30.0;;;;;;;;;;;;;;
70085969;201804;2018-04-03;2.0;1.0;1.0;60.0;0.0;0.0;1.0;0.0;;12.0;8.0;50.0;;;;;;;;;;;;;;
70085971;201804;2018-04-29;3.2;0.0;1.0;64.0;0.0;0.0;1.0;1.0;;1.0;1.0;15.0;;;;;;;;;;;;;;
70085990;201804;2018-04-03;1.1;0.0;3.0;54.0;0.0;0.0;0.0;2.0;;2.0;3.0;30.0;;;;;;;;;;;;;;
70086021;201804;2018-04-30;2.3;1.0;2.0;44.0;0.0;0.0;0.0;0.0;;-5.0;8.0;60.0;;;;;;;;;;;;;;
70086023;201804;2018-04-13;0.9;1.0;4.0;33.0;0.0;0.0;1.0;0.0;;5.0;-10.0;10.0;;;;;;;;;;;;;;
70086026;201804;2018-04-03;0.8;0.0;3.0;64.0;0.0;0.0;1.0;0.0;;10.0;10.0;0.0;;;;;;;;;;;;;;
